LSHM,' USHM',' Momento1',' Momento2',' Momento3',' Momento4',' Cumulante1',' Cumulante2',' Cumulante3',' Cumulante4',' Cumulante6',' Skewness',' Kurtosis',' Axm',' Xp',' xr',' FactorCresta',' FactorForma',' Condition'
0.489269,0.701592,0.0897,0.603296,0.970955,0.231672,0.0897,0.602237,0.695054,0.756734,0.001643,0.748096,0.965233,0.00974,0.73559,0.762462,0.941896,0.987554,' R1'
0.517649,0.298283,0.087267,0.531576,0.978944,0.132502,0.087267,0.530326,0.719542,0.857326,0.929176,0.748982,0.969749,0.72003,0.685106,0.714847,0.935239,0.988147,' R1'
0.397378,0.2464,0.097526,0.80321,0.949484,0.573111,0.097526,0.802684,0.597384,0.418554,0.934763,0.746724,0.963369,0.894241,0.877344,0.89453,0.006729,0.981331,' R1'
0.280462,0.346197,0.094534,0.692522,0.966936,0.372747,0.094534,0.691701,0.650628,0.616826,0.940021,0.747701,0.964086,0.829454,0.815749,0.83017,0.974457,0.980936,' R1'
0.417905,0.216179,0.095662,0.613053,0.969081,0.245865,0.095662,0.61202,0.649319,0.741966,0.932134,0.747937,0.964301,0.777177,0.763983,0.775178,0.970622,0.984097,' R1'
0.553252,0.478077,0.09707,0.543535,0.968092,0.148181,0.09707,0.542301,0.644,0.84134,0.933695,0.747963,0.968746,0.729145,0.71187,0.724943,0.005644,0.986764,' R1'
0.504062,0.414833,0.096224,0.514621,0.967741,0.112351,0.096224,0.513325,0.651418,0.880952,0.003656,0.74798,0.975842,0.706537,0.68751,0.699607,0.95398,0.990715,' R1'
1,0.267046,0.157617,0.795416,0.949621,0.56258,0.157617,0.794765,0.036445,0.438541,0.962,0.746723,0.969391,0.022162,0.894866,0.89652,0.996671,0.978467,' R1'
0.836704,0.418769,0.157742,0.746021,0.940475,0.469908,0.157742,0.745239,0.063091,0.528811,0.005834,0.746142,0.969391,0.863813,0.867862,0.868029,0.009407,0.978269,' R1'
0.384735,0.288655,0.155329,0.664976,0.951974,0.332023,0.155329,0.663992,0.155857,0.667155,0.973256,0.746714,0.97319,0.813994,0.823441,0.817357,0.009986,0.979158,' R1'
0.376819,0.650072,0.150671,0.591784,0.979078,0.219807,0.150671,0.59062,0.271202,0.778844,0.97379,0.748762,0.976918,0.764532,0.773011,0.76484,1,0.982616,' R1'
0.475021,0.454136,0.153161,0.509236,0.966545,0.107355,0.153161,0.507852,0.298726,0.889974,0.957645,0.747873,0.98172,0.702381,0.702201,0.695287,0.979595,0.001087,' R1'
0.145609,0.001629,0.090184,0.882545,0.959096,0.738692,0.090184,0.882231,0.675995,0.264241,0.950497,0,0.968315,0.938653,0.932154,0.93996,0.984515,0.981035,' R1'
0.450877,0.355397,0.088708,0.712006,0.968275,0.411244,0.088708,0.711237,0.699986,0.589019,0.962328,0.747768,0.972401,0.840222,0.84043,0.84114,0.990087,0.98222,' R1'
0.362729,0.15669,0.091148,0.669959,0.54249,0.340562,0.091148,0.669078,0.672311,0.658956,0.96467,0.719393,0.973763,0.81386,0.819088,0.813183,0.995297,0.983011,' R1'
0.527933,0.459805,0.08966,0.578636,0.966575,0.201259,0.08966,0.577511,0.690828,0.797514,0.965903,0.747784,0.978495,0.752156,0.012608,0.747707,0.008538,0.000691,' R1'
0.538512,0.562513,0.088615,0.52405,0.970425,0.128148,0.088615,0.52278,0.701801,0.872423,0.958795,0.748215,0.985735,0.709754,0.705059,0.699024,0.969537,0.001482,' R1'
0.282444,0.155032,0.152003,0.86837,0.959861,0.706356,0.152003,0.867929,0.049037,0.291867,0.937269,0.314496,0.965663,0.02587,0.917811,0.928797,0.977207,0.982616,' R1'
0.296041,0.191371,0.150977,0.716022,0.969652,0.415564,0.150977,0.025173,0.174064,0.580112,0.941213,0.747849,0.968029,0.840668,0.839628,0.837888,0.986252,0.984591,' R1'
0.446893,0.199844,0.149023,0.634084,0.977213,0.281813,0.149023,0.633033,0.252907,0.714389,0.944746,0.748494,0.9719,0.788124,0.784871,0.782993,0.980391,0.987258,' R1'
0.4284,0.221399,0.15323,0.587857,0.963291,0.213276,0.15323,0.586668,0.239115,0.783685,0.944376,0.747511,0.975125,0.756356,0.747316,0.749211,0.969754,0.990024,' R1'
0.432184,0.556682,0.153366,0.542999,0.967576,0.15213,0.153366,0.54169,0.274566,0.847037,0.947293,0.747917,0.98129,0.72365,0.708718,0.713925,0.957164,0.993975,' R1'
0.462724,0.298582,0.099326,0.03882,0.96806,0.623996,0.099326,0.036254,0.59747,0.378597,0.952305,0.74767,0.969749,0.906036,0.903334,0.905159,0.986541,0.982813,' R1'
0.4906,0.457655,0.101267,0.78145,0.958031,0.535374,0.101267,0.780866,0.574042,0.4635,0.94795,0.74716,0.968746,0.879898,0.873471,0.878027,0.981404,0.000296,' R1'
0.277233,0.558298,0.101607,0.702874,0.952565,0.394012,0.101607,0.023861,0.575909,0.603095,0.947662,0.746796,0.970179,0.832224,0.019445,0.829005,0.978148,0.985184,' R1'
0.416301,0.387276,0.103435,0.643648,0.957313,0.296969,0.103435,0.642681,0.575053,0.699374,0.946841,0.747064,0.971971,0.012332,0.788103,0.788623,0.97699,0.987258,' R1'
0.560947,0.456521,0.104185,0.013832,0.956801,0.197445,0.104185,0.0112,0.579884,0.799555,0.944376,0.746982,0.976487,0.747866,0.736818,0.739407,0.965557,0.001087,' R1'
0.138867,0.393106,0.143547,0.039846,0.935227,0.64251,0.143547,0.836224,0.127879,0.35675,0.948155,0.74606,0.967168,0.913543,0.908489,0.914624,0.98589,0.980936,' R1'
0.396571,0.387479,0.140205,0.02878,0.975578,0.432407,0.140205,0.725285,0.265879,0.56187,0.947704,0.748192,0.966738,0.849426,0.844222,0.849925,0.98466,0.981233,' R1'
0.466393,0.452263,0.14306,0.62696,0.967656,0.26924,0.14306,0.625904,0.292116,0.723625,0.947416,0.747813,0.968817,0.011572,0.784497,0.784837,0.008104,0.983603,' R1'
0.51854,0.501162,0.142304,0.014115,0.972369,0.199673,0.142304,0.578227,0.330725,0.794139,0.946471,0.748257,0.972043,0.753184,0.74972,0.008348,0.980101,0.986863,' R1'
0.508559,0.534143,0.139137,0.525389,0.983369,0.127591,0.139137,0.524077,0.39427,0.868752,0.944088,0.749423,0.979068,0.712256,0.699663,0.703199,0.960781,0.993086,' R1'
0.111568,0.000636,0.146935,0.746096,0.966353,0.469672,0.146935,0.745343,0.185559,0.528153,0.955016,0.747629,0.968817,0.861802,0.862493,0.863418,0.99233,0.98064,' R1'
0,0,0.146101,0.663087,0.973858,0.326858,0.146101,0.662128,0.253155,0.667962,0.951812,0.748195,0.969247,0.01394,0.808163,0.809736,0.986975,0.982418,' R1'
0.538784,0.001825,0.146043,0.63691,0.967728,0.284851,0.146043,0.635881,0.263597,0.708627,0.949675,0.747807,0.969032,0.793307,0.799482,0.79236,0.996599,0.982912,' R1'
0.429689,0.193917,0.145997,0.622379,0.964943,0.262438,0.145997,0.621296,0.270149,0.730787,0.950702,0.747617,0.969391,0.784013,0.784096,0.782847,0.988784,0.983011,' R1'
0.533658,0.443342,0.144826,0.561725,0.966839,0.174762,0.144826,0.560495,0.318206,0.818752,0.949018,0.747827,0.972616,0.741835,0.745045,0.738436,0.989363,0.98627,' R1'
0.525386,0.606918,0.145917,0.52179,0.963356,0.122426,0.145917,0.520438,0.332232,0.873,0.940104,0.747553,0.977921,0.709754,0.69539,0.700675,0.958249,0.993185,' R1'
0.221082,0.266233,0.145217,0.505652,0.971304,0.102815,0.145217,0.504258,0.35509,0.894369,0.940104,0.748348,0.982007,0.696841,0.669854,0.686453,0.937699,0.995654,' R1'
0.389327,0.491149,0,0.776452,0.951593,0.52378,0,0.775856,0.67813,0.470612,0.942815,0.74681,0.965806,0.878379,0.880656,0.878076,0.992909,0.981924,' R1'
0.561157,0.542658,0.087113,0.635765,0.971998,0.281256,0.087113,0.634792,0.7156,0.708215,0.934065,0.748115,0.965448,0.791564,0.777606,0.788914,0.969899,0.984196,' R1'
0.626974,0.662321,0.104741,0.509742,0.957425,0.108604,0.104741,0.508433,0.588188,0.889529,0.940391,0.746983,0.983513,0.699209,0.651691,0.688832,0.908538,0.00158,' R1'
0.612003,0.792446,0.103077,0.528319,0.959048,0.131422,0.103077,0.52706,0.599142,0.864702,0.933818,0.747149,0.978853,0.713418,0.677253,0.70383,0.927352,0.994271,' R1'
0.708098,0.581715,0.10605,0.53116,0.95512,0.135168,0.10605,0.529908,0.573652,0.861014,0.934229,0.746788,0.97871,0.715741,0.680538,0.706936,0.929305,0.993777,' R1'
0.747518,0.287275,0.104149,0.526385,0.949277,0.12889,0.104149,0.525121,0.580461,0.867188,0.933448,0.746236,0.002222,0.712077,0.004167,0.703053,0.922142,0.994271,' R1'
0.547108,0.418438,0.1039,0.527784,0.957519,0.131219,0.1039,0.526508,0.590555,0.865887,0.935379,0.747006,0.980358,0.004155,0.675303,0.701937,0.925109,0.995259,' R1'
0.512711,0.492272,0.102353,0.528036,0.957557,0.131135,0.102353,0.526777,0.600434,0.865147,0.933366,0.74701,0.97914,0.713016,0.674876,0.003834,0.924313,0.994567,' R1'
0.587041,0.4904,0.103439,0.520466,0.968476,0.123861,0.103439,0.519186,0.606255,0.877412,0.004108,0.748039,0.987097,0.705464,0.658128,0.693831,0.907887,0.997926,' R1'
0.539633,0.650853,0.10423,0.506143,0.957718,0.105026,0.10423,0.504824,0.592255,0.894979,0.945321,0.747008,0.986738,0.695724,0.649314,0.684658,0.908466,0.997728,' R1'
0.648686,0.668461,0.104652,0.521165,0.949587,0.125025,0.104652,0.519887,0.578477,0.876786,0.947128,0.746251,0.987814,0.003485,0.656152,0.693637,0,0.99842,' R1'
0.568055,0.502424,0.117691,0.809457,0.988432,0.595946,0.117691,0.808933,0.446407,0.417139,0.951072,0.748724,0.976989,0.890085,0.875661,0.881231,0.006151,0.990024,' R2'
0.335513,0.537256,0.116181,0.751911,0.976357,0.486195,0.116181,0.751234,0.465127,0.523131,0.004683,0.748193,0.977419,0.857602,0.84075,0.850604,0.962952,0.98953,' R2'
0.485421,0.566995,0.116362,0.73207,0.976176,0.450466,0.116362,0.73134,0.46931,0.558347,0.954893,0.748217,0.978136,0.846298,0.829585,0.839635,0.005861,0.989135,' R2'
0.484855,0.504778,0.113102,0.713731,0.997043,0.418518,0.113102,0.02495,0.524475,0.590352,0.958179,0.749526,0.979283,0.835307,0.824056,0.828763,0.96932,0.989234,' R2'
0.510845,0.477306,0.11474,0.670093,0.985864,0.345153,0.11474,0.669197,0.511137,0.663105,0.963931,0.748984,0.98172,0.808856,0.795502,0.802796,0.006151,0.989332,' R2'
0.330313,0.53287,0.114218,0.020347,0.980261,0.299703,0.114218,0.640758,0.517206,0.708001,0.969394,0.748691,0.983369,0.791698,0.781666,0.012134,0.006585,0.988838,' R2'
